text,lang,orig_index
"<s>[INST] Can the National Assembly discuss or vote on the authenticated schedule of authorized expenditure? [/INST] No, the authenticated schedule of authorized expenditure shall be laid before the National Assembly but shall not be open to discussion or vote. </s>",eng,166
<s>[INST] کیا قومی اسمبلی منظور شدہ مصارف کی توثیق شدہ جدول پر بحث یا رائے شماری کر سکتی ہے؟ [/INST] نہیں، منظور شدہ مصارف کی توثیق شدہ جدول کو قومی اسمبلی میں پیش کیا جائے گا لیکن اس پر بحث یا رائے شماری نہیں ہوگی۔ </s>,urdu,166
"<s>[INST] What happens if no candidate secures a majority in the first poll for Prime Minister? [/INST] If no candidate secures a majority in the first poll, a second poll is held between the candidates who secured the two highest numbers of votes in the first poll, and the candidate who secures a majority of votes in the second poll is declared elected as Prime Minister. </s>",eng,183
<s>[INST] اگر کسی امیدوار کو پہلی رائے شماری میں اکثریت حاصل نہ ہو تو کیا ہوتا ہے؟ [/INST] اگر کسی امیدوار کو پہلی رائے شماری میں اکثریت حاصل نہ ہو تو، پہلی رائے شماری میں سب سے زیادہ ووٹ حاصل کرنے والے پہلے دو امیدواروں کے درمیان دوسری رائے شماری کا انعقاد کیا جائے گا اور جو امیدوار دوسری رائے شماری میں اکثریت رائے دہی حاصل کر لے گا اسے وزیراعظم منتخب قرار دیا جائے گا۔ </s>,urdu,183
"<s>[INST] Can the state make special rules for women and children? [/INST] Yes, the state can make special provisions for the protection of women and children. </s>",eng,47
<s>[INST] کیا مملکت عورتوں اور بچوں کے لیے خاص قوانین بنا سکتی ہے؟ [/INST] جی ہاں، مملکت عورتوں اور بچوں کے تحفظ کے لیے خاص اہتمام کر سکتی ہے۔ </s>,urdu,47
<s>[INST] Who is responsible for presenting the budget to the Provincial Assembly each year? [/INST] The Provincial Government is responsible for presenting the budget to the Provincial Assembly each year. </s>,eng,236
<s>[INST] ہر سال صوبائی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری کس کی ہے؟ [/INST] ہر سال صوبائی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری صوبائی حکومت کی ہے۔ </s>,urdu,236
"<s>[INST] How are the seats reserved for women in the National Assembly allocated? [/INST] The seats reserved for women are allocated to each province based on the total number of general seats secured by each political party from the respective province in the National Assembly, and members are elected through a proportional representation system of political parties' lists of candidates. </s>",eng,95
<s>[INST] قومی اسمبلی میں خواتین کے لیے مخصوص نشستیں کیسے مختص کی جاتی ہیں؟ [/INST] خواتین کے لیے مخصوص نشستیں ہر صوبے کے لیے قومی اسمبلی میں متعلقہ صوبے سے ہر ایک سیاسی جماعت کی طرف سے حاصل کردہ عام نشستوں کی کل تعداد کی بنیاد پر متناسب نمائندگی کے نظام کے ذریعے سیاسی جماعتوں کی امیدواروں کی فہرست سے منتخب کی جاتی ہیں۔ </s>,urdu,95
